[RUN #1 67%,  60 secs]  2 threads:      185064 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 68%,  61 secs]  2 threads:      188148 ops,    3071 (avg:    3072) ops/sec, 3.15MB/sec (avg: 3.15MB/sec), 15.81 (avg: 15.62) msec latency
[RUN #1 69%,  62 secs]  2 threads:      191220 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.62) msec latency
[RUN #1 70%,  63 secs]  2 threads:      194292 ops,    3059 (avg:    3071) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.62) msec latency
[RUN #1 71%,  64 secs]  2 threads:      197364 ops,    3059 (avg:    3071) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 73%,  65 secs]  2 threads:      200484 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.62) msec latency
[RUN #1 74%,  66 secs]  2 threads:      203556 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 75%,  67 secs]  2 threads:      206628 ops,    3059 (avg:    3071) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 76%,  68 secs]  2 threads:      209700 ops,    3059 (avg:    3071) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 77%,  69 secs]  2 threads:      212820 ops,    3107 (avg:    3072) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
[RUN #1 78%,  70 secs]  2 threads:      215892 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
